date,open,high,low,close,volume
2020-01-01,100.0503,100.4519,100.1439,100.2484,899931
2020-01-02,100.0737,100.2709,100.0942,100.1792,107919
2020-01-03,100.4444,100.6823,100.2221,100.5031,857765
2020-01-04,101.2796,101.2977,101.0907,101.2646,304179
2020-01-05,101.2499,101.5067,100.7005,101.1475,196003
2020-01-06,101.0999,101.2618,100.8342,101.0304,381188
2020-01-07,101.7021,102.1203,101.2203,101.82,749574
2020-01-08,102.1666,102.4383,101.7362,102.2038,450022
2020-01-09,101.9767,102.2233,101.8996,101.969,242269
2020-01-10,102.2141,102.4859,101.5902,102.2403,262299
2020-01-11,101.9817,102.2852,101.7677,102.0086,802928
2020-01-12,101.6035,102.0312,101.6413,101.7757,234821
2020-01-13,101.7814,102.2915,101.7208,101.8967,813379
2020-01-14,100.8998,101.0799,100.6262,100.9401,455105
2020-01-15,99.7683,100.3245,99.9207,100.0776,878757
2020-01-16,99.8605,99.8089,99.775,99.7965,819846
2020-01-17,99.1528,99.6122,98.8883,99.2901,612383
2020-01-18,99.5159,99.5847,98.9921,99.4472,139873
2020-01-19,99.0531,99.2076,98.7056,98.9932,292401
2020-01-20,98.2326,98.8254,97.7407,98.287,319625
2020-01-21,99.1199,99.4833,98.3559,99.0198,880826
2020-01-22,98.9813,99.0882,98.8455,98.907,450758
2020-01-23,98.9098,99.349,98.896,98.9407,130184
2020-01-24,98.1862,98.2478,98.1274,98.2283,998354
2020-01-25,98.0659,98.1858,97.6758,97.9561,383922
2020-01-26,98.0348,98.4549,97.5991,98.0116,760063
2020-01-27,97.5406,97.5098,96.874,97.4361,223041
2020-01-28,97.3851,97.7005,97.3559,97.624,493816
2020-01-29,97.3335,97.835,97.2988,97.3236,867222
2020-01-30,97.0201,97.2027,97.0428,97.1778,601271
2020-01-31,96.8744,97.124,96.7509,96.8769,649528
2020-02-01,97.8745,98.0868,97.4473,97.8031,279019
2020-02-02,97.9702,97.9476,97.4027,97.7963,727549
2020-02-03,97.1737,97.4299,97.1275,97.2675,540562
2020-02-04,97.6262,98.2718,97.4603,97.6788,718181
2020-02-05,97.0588,97.2169,97.0257,97.0683,515773
2020-02-06,97.0753,97.2641,96.9048,97.1728,896663
2020-02-07,96.2908,96.2868,96.1486,96.1929,235648
2020-02-08,95.5218,95.7144,95.1637,95.5288,898414
2020-02-09,95.6395,96.223,95.1706,95.6273,419029
2020-02-10,96.0585,96.0336,95.8919,95.9965,294930
2020-02-11,96.075,96.1472,96.0606,96.0822,230125
2020-02-12,95.9426,96.1021,95.2227,96.0244,188183
2020-02-13,95.8675,95.9111,95.548,95.8738,654776
2020-02-14,95.0489,95.383,94.8905,95.1345,945548
2020-02-15,94.7854,94.8107,94.4902,94.7746,620701
2020-02-16,94.644,94.6795,94.3322,94.5443,599460
2020-02-17,94.9554,95.1358,94.8274,95.0729,450721
2020-02-18,95.0914,95.3819,94.9994,95.2447,543758
2020-02-19,94.3681,94.4933,93.8778,94.3632,385775
2020-02-20,94.4484,95.0568,93.9038,94.5252,435206
2020-02-21,94.3358,94.5237,94.2242,94.3327,268126
2020-02-22,94.0262,94.1955,93.5599,93.9942,277787
2020-02-23,94.0857,94.6288,93.8771,94.3,159061
2020-02-24,94.8845,95.1469,94.6435,94.8155,970309
2020-02-25,95.1642,95.4112,95.0184,95.2812,814363
2020-02-26,94.8593,94.9283,94.6249,94.8616,250544
2020-02-27,94.641,95.2115,94.3743,94.707,323262
2020-02-28,94.8174,95.016,94.5002,94.8726,815648
2020-02-29,95.5298,95.7922,94.7218,95.3604,555813
2020-03-01,95.1527,95.1627,94.9856,95.1208,473982
2020-03-02,95.1184,95.0995,94.8691,95.0279,563941
2020-03-03,94.4899,94.7404,94.2505,94.4748,167363
2020-03-04,93.9387,94.4112,93.7085,93.8767,387836
2020-03-05,94.3247,94.6923,93.7638,94.2829,822901
2020-03-06,94.9865,94.9768,94.4357,94.9611,477993
2020-03-07,95.0358,95.008,94.735,94.925,587447
2020-03-08,95.4425,95.5569,95.2805,95.4268,893022
2020-03-09,95.8361,95.6723,95.5666,95.6076,984903
2020-03-10,95.3811,95.3908,95.0211,95.2851,573857
2020-03-11,95.3518,95.598,95.2426,95.4658,179123
2020-03-12,96.2171,96.5697,96.0307,96.2348,962160
2020-03-13,96.2566,96.5132,96.1913,96.2169,567232
2020-03-14,97.0036,97.137,96.646,96.9992,425087
2020-03-15,95.758,95.9647,95.5618,95.6893,433878
2020-03-16,96.18,96.1934,95.8489,96.1003,963524
2020-03-17,96.0078,96.3409,95.7456,96.1438,484360
2020-03-18,96.1224,96.3178,95.8963,95.9943,175859
2020-03-19,95.9905,96.1479,95.9653,96.0402,604176
2020-03-20,94.9868,95.3583,94.9979,95.0464,366117
2020-03-21,94.8766,95.4912,94.8541,94.9366,142144
2020-03-22,95.196,95.5074,94.9408,95.1151,523387
2020-03-23,95.8274,95.9362,94.9858,95.8541,289898
2020-03-24,95.5286,96.065,95.2371,95.5949,963827
2020-03-25,95.1483,95.3704,94.6523,95.1907,538981
2020-03-26,94.7603,94.9925,94.7561,94.9398,460647
2020-03-27,95.3133,95.688,95.0775,95.3975,902770
2020-03-28,95.4379,95.9764,95.5207,95.5619,780270
2020-03-29,95.2701,95.528,95.2407,95.297,644085
2020-03-30,95.6201,96.0055,95.255,95.5536,509778
2020-03-31,95.6576,95.7338,95.5858,95.6022,822620
2020-04-01,96.2122,96.4282,95.8487,96.0865,199483
2020-04-02,95.8389,96.4729,95.3399,95.7355,776579
2020-04-03,95.5188,95.8659,95.3119,95.5716,510467
2020-04-04,95.3775,95.4097,95.1957,95.3756,854641
2020-04-05,94.6406,95.1236,94.3257,94.6438,605227
2020-04-06,94.5768,94.9938,94.5014,94.7919,198298
2020-04-07,94.8007,95.0139,94.3709,94.9224,120024
2020-04-08,94.9082,95.045,94.4019,94.925,141625
2020-04-09,94.7904,94.9826,94.5948,94.8077,929464
2020-04-10,94.1512,94.5217,93.5271,94.1,739758
2020-04-11,93.936,93.9499,93.6526,93.8897,399209
2020-04-12,93.5412,94.3491,93.25,93.7183,632326
2020-04-13,93.369,93.5192,93.0678,93.3172,686337
2020-04-14,93.2544,93.494,93.0727,93.2365,292948
2020-04-15,93.5009,93.6024,93.2829,93.4386,997895
2020-04-16,94.4883,94.5505,94.3515,94.3816,582672
2020-04-17,94.4546,94.5012,94.3147,94.4689,250906
2020-04-18,94.7223,94.6208,94.2222,94.5977,421646
2020-04-19,94.4715,94.9545,94.4236,94.5605,351957
2020-04-20,93.5065,93.81,93.1176,93.6011,728182
2020-04-21,93.6307,94.1471,93.5408,93.5878,418669
2020-04-22,93.5811,93.8194,93.4807,93.618,679750
2020-04-23,94.8757,94.8763,94.4594,94.8496,858749
2020-04-24,94.9527,94.8378,94.6641,94.7534,931465
2020-04-25,94.9435,94.9412,94.8402,94.9042,805471
2020-04-26,94.908,95.0202,94.7949,94.8868,295160
2020-04-27,94.2156,94.4326,94.0341,94.3025,814110
